PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
0,https://www.newyorkspecialed.net/districts/white-plains-city-sd/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/white-plains-city-sd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/buffalo-city-sd/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/buffalo-city-sd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,4,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-30-astoria/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/
0,https://www.newyorkspecialed.net/districts/william-floyd-ufsd/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/william-floyd-ufsd/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/rochester-city-sd/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/rochester-city-sd/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/mount-vernon-city-sd/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/mount-vernon-city-sd/parent-advocacy-guide.html
