District,region,phone,address
Buffalo City SD,Western NY,716-816-4746,"33 Ash Street, Buffalo, NY 14204"
Rochester City SD,Finger Lakes,585-262-8100,"131 West Broad Street, Rochester, NY 14614"
Syracuse City SD,Central NY,315-435-4140,"725 Harrison St, Syracuse, NY 13210"
Yonkers City SD,Lower Hudson Valley,914-376-8000,"One Larkin Center, Yonkers, NY 10701"
Albany City SD,Capital Region,518-475-6150,"75 Watervliet Avenue, Albany, NY 12206"
Mount Vernon City SD,Lower Hudson Valley,914-665-5000,"165 North Columbus Avenue, Mount Vernon, NY 10553"
Utica City SD,Mohawk Valley,315-368-6018,"929 York St, Utica, NY 13502"
Brentwood UFSD,Long Island,631-434-2401,"52 Third Avenue, Brentwood, NY 11717"
William Floyd UFSD,Long Island,631-874-1133,"240 Mastic Beach Rd, Mastic Beach, NY 11951"
Central Islip UFSD,Long Island,631-348-5125,"50 Wheeler Rd, Central Islip, NY 11722"
Hempstead UFSD,Long Island,516-434-4092,"185 Peninsula Boulevard, Hempstead, NY 11550"
Freeport UFSD,Long Island,516-771-3467,"235 N. Ocean Ave., Freeport, NY 11520"
New Rochelle City SD,Westchester,914-576-4268,"515 North Avenue, New Rochelle, NY 10801"
White Plains City SD,Westchester,914-422-2034,"5 Homeside Ln, White Plains, NY 10605"
Newburgh Enlarged City SD,Hudson Valley,845-563-8520,"124 Grand Street, Newburgh, NY 12550"
Poughkeepsie City SD,Hudson Valley,845-451-4950,"18 South Perry Street, Poughkeepsie, NY 12601"
Schenectady City SD,Capital Region,518-881-3544,"530 Liberty St, Schenectady, NY 12305"
Niagara Falls City SD,Western NY,716-286-4280,"630 66th Street, Niagara Falls, NY 14304"
