File,Title Pass (<=65 chars),Desc Pass (>=70 chars),H1 Pass (Exists),CSS Pass (Absolute),OG Tags Pass
index.html,True,True,True,True,True
terms.html,True,True,True,True,True
.git\partners.html,True,True,True,True,True
about\index.html,True,True,True,True,True
about\methodology.html,True,True,True,True,True
about\mission.html,True,True,True,True,True
about\partners.html,True,True,True,True,True
components\components-footer.html,False,False,False,True,False
components\components-navbar.html,False,False,False,True,False
contact\index.html,True,True,True,True,True
districts\index.html,True,True,True,True,True
districts\albany-city-sd\cse-meeting-guide.html,True,True,True,True,True
districts\albany-city-sd\discipline-rights.html,True,True,True,True,True
districts\albany-city-sd\evaluation-process.html,True,True,True,True,True
districts\albany-city-sd\index.html,True,True,True,True,True
districts\albany-city-sd\leadership-directory.html,True,True,True,True,True
districts\albany-city-sd\parent-advocacy-guide.html,True,True,True,True,True
districts\albany-city-sd\partners.html,True,True,True,True,True
districts\albany-city-sd\special-ed-updates.html,True,True,True,True,True
districts\brentwood-ufsd\cse-meeting-guide.html,True,True,True,True,True
districts\brentwood-ufsd\discipline-rights.html,True,True,True,True,True
districts\brentwood-ufsd\evaluation-process.html,True,True,True,True,True
districts\brentwood-ufsd\index.html,True,True,True,True,True
districts\brentwood-ufsd\leadership-directory.html,True,True,True,True,True
districts\brentwood-ufsd\parent-advocacy-guide.html,True,True,True,True,True
districts\brentwood-ufsd\partners.html,True,True,True,True,True
districts\brentwood-ufsd\special-ed-updates.html,True,True,True,True,True
districts\buffalo-city-sd\cse-meeting-guide.html,True,True,True,True,True
districts\buffalo-city-sd\discipline-rights.html,True,True,True,True,True
districts\buffalo-city-sd\evaluation-process.html,True,True,True,True,True
districts\buffalo-city-sd\index.html,True,True,True,True,True
districts\buffalo-city-sd\leadership-directory.html,True,True,True,True,True
districts\buffalo-city-sd\parent-advocacy-guide.html,True,True,True,True,True
districts\buffalo-city-sd\partners.html,True,True,True,True,True
districts\buffalo-city-sd\special-ed-updates.html,True,True,True,True,True
districts\central-islip-ufsd\cse-meeting-guide.html,True,True,True,True,True
districts\central-islip-ufsd\discipline-rights.html,True,True,True,True,True
districts\central-islip-ufsd\evaluation-process.html,True,True,True,True,True
districts\central-islip-ufsd\index.html,True,True,True,True,True
districts\central-islip-ufsd\leadership-directory.html,True,True,True,True,True
districts\central-islip-ufsd\parent-advocacy-guide.html,True,True,True,True,True
districts\central-islip-ufsd\partners.html,True,True,True,True,True
districts\central-islip-ufsd\special-ed-updates.html,True,True,True,True,True
districts\east-ramapo-csd\cse-meeting-guide.html,True,True,True,True,True
districts\east-ramapo-csd\discipline-rights.html,True,True,True,True,True
districts\east-ramapo-csd\evaluation-process.html,True,True,True,True,True
districts\east-ramapo-csd\index.html,True,True,True,True,True
districts\east-ramapo-csd\leadership-directory.html,True,True,True,True,True
districts\east-ramapo-csd\parent-advocacy-guide.html,True,True,True,True,True
districts\east-ramapo-csd\partners.html,True,True,True,True,True
districts\east-ramapo-csd\special-ed-updates.html,True,True,True,True,True
districts\freeport-ufsd\cse-meeting-guide.html,True,True,True,True,True
districts\freeport-ufsd\discipline-rights.html,True,True,True,True,True
districts\freeport-ufsd\evaluation-process.html,True,True,True,True,True
districts\freeport-ufsd\index.html,True,True,True,True,True
districts\freeport-ufsd\leadership-directory.html,True,True,True,True,True
districts\freeport-ufsd\parent-advocacy-guide.html,True,True,True,True,True
districts\freeport-ufsd\partners.html,True,True,True,True,True
districts\freeport-ufsd\special-ed-updates.html,True,True,True,True,True
districts\greece-csd\cse-meeting-guide.html,True,True,True,True,True
