District,Attorney Name,Law Firm,Website,Phone Number,City
Albany City SD,Education Lawyers,Tully Rinckey PLLC,https://www.tullylegal.com/,888-529-4543,Albany
Albany City SD,Special Education Attorneys,"Pattison, Sampson, Ginsberg & Griffin, PLLC",https://psgglaw.com/,518-266-1000,Albany
Albany City SD,Education Lawyers,"McCall Sweeney & Silva, P.C.",https://www.msslawpc.com/,,Albany
Albany City SD,Kenneth Ritzenberg,Young/Sommer LLC Attorneys at Law,https://www.youngsommer.com/,,Albany
Albany City SD,Martin J. Kehoe III,Martin Kehoe & Associates,,,Albany
Brentwood UFSD,Samuel L. Drukman,"Samuel L. Drukman, Esq., Attorney At Law",,,Brentwood
Brentwood UFSD,,Nesenoff & Miltenberg LLP,,,Brentwood
Brentwood UFSD,,Tully Rinckey PLLC,,,Brentwood
Brentwood UFSD,,"Education Litigation Group, LLC",,,Brentwood
Brentwood UFSD,Susan J. Deedy,Law Offices of Susan J. Deedy & Associates,,(516) 221-8133,Long Island
Buffalo City SD,Various Attorneys,Attorneys for Children Unit - Legal Aid Bureau of Buffalo,https://www.labbuffalo.org/attorneys-for-children-unit,716-416-7427,Buffalo
Buffalo City SD,Nathanial J. Kuzma,Lippes Mathias LLP,https://www.lippes.com/,Not found,Buffalo
Buffalo City SD,Various Attorneys,Tully Rinckey PLLC,https://www.tullylegal.com/,Not found,Buffalo
Buffalo City SD,Various Attorneys,Gross Shuman P.C.,https://www.gross-shuman.com/,716-854-4300,Buffalo
Buffalo City SD,Various Attorneys,Hayes Dolce LLP,https://hayesdolce.com/,Not found,Buffalo
Central Islip UFSD,Felicia Lebewohl Rosen,unavailable,unavailable,unavailable,Central Islip
Central Islip UFSD,Angel A. Castro,A. A. Castro C.L.A.N. PLLC,unavailable,unavailable,Manhattan & Syracuse
Central Islip UFSD,Joseph M. Fein,Law Offices of Joseph M. Fein,unavailable,unavailable,Cedarhurst & New York City
District 1,Skyer Law,Skyer Law,https://www.skyerlaw.com/,,NYC
District 1,Susan Luger,Susan Luger Associates,,,NYC
District 1,Susan Deedy,Law Offices of Susan Deedy,,,NYC
District 1,Andrew K. Cuddy,Cuddy Law Firm,https://www.cuddylawfirm.com/,,White Plains
District 1,Gina DeCrescenzo,"Gina DeCrescenzo, P.C.",,,NYC
District 10,Skyer Law,Skyer Law,https://skyerlaw.com/,,NYC
District 10,Neal H. Rosenberg,Law Offices of Neal H. Rosenberg,,212-732-9450,New York
District 10,,"Kule-Korgood & Associates, P.C.",,(718) 261-0181,Forest Hills
District 10,,Law Offices of Susan J. Deedy,,,New York
District 10,,Cuddy Law Firm,,,New York
District 11,Keith Altman,"The Law Office of Keith Altman, PLLC",unlisted,unlisted,Bronx
District 11,Gerry McMahon,"The Law Offices of Gerry McMahon, LLC",unlisted,unlisted,Bronx
District 11,Andrew K. Cuddy,Cuddy Law Firm,https://www.cuddylawfirm.com/,unlisted,White Plains
District 11,Susan Deedy,The Law Offices of Susan J. Deedy,https://www.susanjdeedy.com/,(516) 221-8133,NYC
District 11,Joseph Fein,Susan Luger Associates,unlisted,unlisted,NYC
District 12,Adam Dayan,Law Offices of Adam Dayan,https://www.adamdayanlaw.com/,,New York
District 12,Gina DeCrescenzo,Gina DeCrescenzo PC,https://www.ginadecrelaw.com/,,New York
